Units(Millions),Artist,Album,Year
3.38,Adele,25 (2015),2015
2.42,NSYNC,No Strings Attached (2000),2000
1.88,NSYNC,Celebrity (2001),2001
1.76,Eminem,The Marshall Mathers LP (2000),2000
1.59,Backstreet Boys,Black & Blue (2000),2000
1.58,Taylor Swift,Midnights (2022) ,2022
1.32,Eminem,The Eminem Show (2002) ,2002
1.32,Britney Spears,Oops! I Did It Again (2000) ,2000
1.3,Eminem,Encore (2004),2004
1.29,Taylor Swift,1989 (2014),2014
1.26,The Beatles,1 (2000),2000
1.22,Taylor Swift,Reputation (2017),2017
1.21,Taylor Swift,Red (2012),2012
1.14,50 Cent,The Massacre (2005),2005
1.13,Backstreet Boys,Millennium (1999) ,1999
1.11,Lady Gaga,Born This Way (2011),2011
1.1,Usher,Confessions (2004),2004
1.1,Garth Brooks,Double Live (1998),1998
1.06,Whitney Houston,The Bodyguard: Original Soundtrack Album (1993),1993
1.06,Limp Bizkit,Chocolate Starfish and the Hot Dog Flavored Water (2000),2000
1.05,Taylor Swift,Speak Now (2010),2010
1.02,Norah Jones,Feels Like Home (2004),2004
1.01,Lil Wayne,Tha Carter III (2008),2008
